search_method,boost_text,boost_video,num_results,hit_rate,mrr
keyword_es_search,1,1,5,0.5803,0.3474
keyword_minsearch,1,1,5,0.2537,0.1523
keyword_es_search,1,1,10,0.6939,0.3627
keyword_minsearch,1,1,10,0.3161,0.1607
keyword_es_search,1,5,5,0.156,0.1014
keyword_minsearch,1,5,5,0.1252,0.0746
keyword_es_search,1,5,10,0.173,0.1037
keyword_minsearch,1,5,10,0.155,0.0787
keyword_es_search,1,9,5,0.0364,0.0224
keyword_minsearch,1,9,5,0.1164,0.0689
keyword_es_search,1,9,10,0.0456,0.0236
keyword_minsearch,1,9,10,0.1442,0.0726
keyword_es_search,5,1,5,0.5808,0.3475
keyword_minsearch,5,1,5,0.4786,0.2858
keyword_es_search,5,1,10,0.6951,0.363
keyword_minsearch,5,1,10,0.5985,0.302
keyword_es_search,5,5,5,0.5803,0.3474
keyword_minsearch,5,5,5,0.2537,0.1523
keyword_es_search,5,5,10,0.6939,0.3627
keyword_minsearch,5,5,10,0.3161,0.1607
keyword_es_search,5,9,5,0.5389,0.3276
keyword_minsearch,5,9,5,0.1731,0.1039
keyword_es_search,5,9,10,0.6295,0.34
keyword_minsearch,5,9,10,0.2156,0.1096
keyword_es_search,9,1,5,0.5808,0.3475
keyword_minsearch,9,1,5,0.497,0.2966
keyword_es_search,9,1,10,0.6951,0.363
keyword_minsearch,9,1,10,0.62,0.3132
keyword_es_search,9,5,5,0.5808,0.3475
keyword_minsearch,9,5,5,0.3621,0.2171
keyword_es_search,9,5,10,0.6951,0.363
keyword_minsearch,9,5,10,0.4539,0.2294
keyword_es_search,9,9,5,0.5803,0.3474
keyword_minsearch,9,9,5,0.2537,0.1523
keyword_es_search,9,9,10,0.6939,0.3627
keyword_minsearch,9,9,10,0.3161,0.1607
video_hybrid,5,1,10,0.6953,0.363
text_hybrid,5,1,10,0.6978,0.3651
text_hybrid,5,1,5,0.5828,0.3497
text_video_hybrid,5,1,10,0.6972,0.3649
video_hybrid_rrf,5,1,10,0.3743,0.1494
text_hybrid_rrf,5,1,10,0.5554,0.337
text_hybrid_rrf,5,1,5,0.5607,0.3326
text_video_hybrid_rrf,5,1,10,0.5341,0.3158
video_vector_es_search,,,5,0.0183,0.0085
text_vector_es_search,,,5,0.4105,0.2556
text_video_vector_es_search,,,5,0.3716,0.224
combined_vector_es_search,,,5,0.352,0.2133
